person_id,current_rank,current_rank_date,previous_rank,previous_rank_date,current_rank_tenure_years,years_since_last_promotion
AO21355,Senior Lieutenant,2025-07-19,Lieutenant,2022-07-19,0.95,0.95
AO16958,Captain,2023-04-08,Senior Lieutenant,2020-04-07,3.23,3.23
AO23557,Lieutenant,2024-09-15,,,1.79,1.79
G08994,Senior Warrant Officer,2013-06-08,Warrant Officer,2011-06-09,13.06,13.06
G21193,Warrant Officer,2024-10-21,Junior Warrant Officer,2022-10-22,1.69,1.69
G23405,Warrant Officer,2026-05-18,Junior Warrant Officer,2024-05-17,0.12,0.12
G21265,Warrant Officer,2024-07-11,Junior Warrant Officer,2022-07-11,1.97,1.97
G23583,Warrant Officer,2026-06-20,Junior Warrant Officer,2024-06-19,0.03,0.03
G16237,Senior Warrant Officer,2021-09-30,Warrant Officer,2019-09-30,4.75,4.75
G12759,Senior Warrant Officer,2017-09-11,Warrant Officer,2015-09-12,8.8,8.8
G21712,Warrant Officer,2024-08-13,Junior Warrant Officer,2022-08-13,1.88,1.88
G11534,Senior Warrant Officer,2016-06-15,Warrant Officer,2014-06-16,10.04,10.04
G13338,Senior Warrant Officer,2018-12-23,Warrant Officer,2016-12-22,7.52,7.52
G24740,Junior Warrant Officer,2025-08-09,,,0.89,0.89
G24625,Junior Warrant Officer,2025-06-27,,,1.01,1.01
G08825,Senior Warrant Officer,2013-12-04,Warrant Officer,2011-12-05,12.57,12.57
G24228,Junior Warrant Officer,2025-10-18,,,0.7,0.7
G22914,Warrant Officer,2025-02-08,Junior Warrant Officer,2023-02-08,1.39,1.39
G23950,Warrant Officer,2026-04-07,Junior Warrant Officer,2024-04-07,0.23,0.23
G18229,Senior Warrant Officer,2023-09-19,Warrant Officer,2021-09-19,2.78,2.78
G10034,Senior Warrant Officer,2014-12-30,Warrant Officer,2012-12-30,11.5,11.5
G24055,Junior Warrant Officer,2025-09-30,,,0.75,0.75
G17751,Senior Warrant Officer,2022-10-18,Warrant Officer,2020-10-18,3.7,3.7
G21335,Warrant Officer,2024-09-11,Junior Warrant Officer,2022-09-12,1.8,1.8
G19692,Senior Warrant Officer,2024-07-04,Warrant Officer,2022-07-04,1.99,1.99
G18048,Senior Warrant Officer,2023-10-29,Warrant Officer,2021-10-29,2.67,2.67
G23617,Warrant Officer,2026-01-17,Junior Warrant Officer,2024-01-18,0.45,0.45
G18607,Senior Warrant Officer,2023-11-02,Warrant Officer,2021-11-01,2.66,2.66
G22495,Warrant Officer,2025-12-19,Junior Warrant Officer,2023-12-19,0.53,0.53
G22236,Warrant Officer,2025-10-18,Junior Warrant Officer,2023-10-18,0.7,0.7
G22081,Warrant Officer,2025-03-27,Junior Warrant Officer,2023-03-28,1.26,1.26
G23603,Junior Warrant Officer,2024-10-29,,,1.67,1.67
G23250,Warrant Officer,2026-01-28,Junior Warrant Officer,2024-01-29,0.42,0.42
G21406,Warrant Officer,2024-11-16,Junior Warrant Officer,2022-11-16,1.62,1.62
G24842,Junior Warrant Officer,2025-02-04,,,1.4,1.4
G09851,Senior Warrant Officer,2014-08-02,Warrant Officer,2012-08-02,11.91,11.91
G17884,Senior Warrant Officer,2022-08-17,Warrant Officer,2020-08-16,3.87,3.87
G25117,Junior Warrant Officer,2026-04-07,,,0.23,0.23
G25881,Junior Warrant Officer,2026-03-20,,,0.28,0.28
G22817,Warrant Officer,2025-09-26,Junior Warrant Officer,2023-09-26,0.76,0.76
G24028,Junior Warrant Officer,2025-02-04,,,1.4,1.4
G21397,Senior Warrant Officer,2026-05-18,Warrant Officer,2024-05-17,0.12,0.12
G22616,Warrant Officer,2025-03-13,Junior Warrant Officer,2023-03-13,1.3,1.3
G16679,Senior Warrant Officer,2021-11-27,Warrant Officer,2019-11-28,4.59,4.59
G25490,Junior Warrant Officer,2026-06-16,,,0.04,0.04
G22788,Warrant Officer,2025-05-06,Junior Warrant Officer,2023-05-07,1.15,1.15
G21226,Warrant Officer,2024-10-29,Junior Warrant Officer,2022-10-29,1.67,1.67
G22189,Warrant Officer,2025-10-25,Junior Warrant Officer,2023-10-26,0.68,0.68
G21086,Warrant Officer,2024-07-22,Junior Warrant Officer,2022-07-22,1.94,1.94
G07800,Senior Warrant Officer,2012-12-26,Warrant Officer,2010-12-26,13.51,13.51
G21074,Warrant Officer,2024-12-11,Junior Warrant Officer,2022-12-12,1.55,1.55
G23622,Warrant Officer,2026-06-09,Junior Warrant Officer,2024-06-08,0.06,0.06
G08080,Senior Warrant Officer,2013-03-13,Warrant Officer,2011-03-13,13.3,13.3
G18336,Senior Warrant Officer,2023-07-08,Warrant Officer,2021-07-08,2.98,2.98
G19856,Senior Warrant Officer,2024-07-18,Warrant Officer,2022-07-19,1.95,1.95
G06810,Senior Warrant Officer,2011-12-12,Warrant Officer,2009-12-12,14.55,14.55
G09028,Senior Warrant Officer,2014-06-23,Warrant Officer,2012-06-23,12.02,12.02
G25779,Junior Warrant Officer,2026-06-30,,,0.0,0.0
G16461,Senior Warrant Officer,2021-12-23,Warrant Officer,2019-12-23,4.52,4.52
G25044,Junior Warrant Officer,2026-02-01,,,0.41,0.41
G24144,Junior Warrant Officer,2025-02-15,,,1.37,1.37
G22135,Warrant Officer,2025-07-19,Junior Warrant Officer,2023-07-19,0.95,0.95
G22448,Warrant Officer,2025-02-15,Junior Warrant Officer,2023-02-16,1.37,1.37
AO97468,Lieutenant Colonel,2012-05-28,Major,2009-05-28,14.09,14.09
AO12000,Major,2024-05-28,Captain,2019-05-29,2.09,2.09
AO13467,Major,2025-08-28,Captain,2020-08-27,0.84,0.84
G06923,Senior Warrant Officer,2011-11-13,Warrant Officer,2009-11-12,14.63,14.63
AO12830,Major,2024-04-11,Captain,2019-04-11,2.22,2.22
AO22617,Senior Lieutenant,2026-06-12,Lieutenant,2023-06-12,0.05,0.05
AO25183,Lieutenant,2026-04-22,,,0.19,0.19
AO21436,Senior Lieutenant,2025-04-18,Lieutenant,2022-04-18,1.2,1.2
AO23681,Lieutenant,2024-07-18,,,1.95,1.95
AO25376,Lieutenant,2026-03-31,,,0.25,0.25
AO22093,Senior Lieutenant,2026-05-03,Lieutenant,2023-05-03,0.16,0.16
AO23780,Lieutenant,2024-12-22,,,1.52,1.52
AO14671,Major,2026-04-04,Captain,2021-04-04,0.24,0.24
AO11537,Major,2023-11-20,Captain,2018-11-20,2.61,2.61
AO12140,Major,2024-07-11,Captain,2019-07-12,1.97,1.97
AO20080,Senior Lieutenant,2024-08-20,Lieutenant,2021-08-20,1.86,1.86
AO19031,Captain,2026-02-15,Senior Lieutenant,2023-02-16,0.37,0.37
AO18862,Captain,2025-12-12,Senior Lieutenant,2022-12-12,0.55,0.55
AO14110,Major,2026-06-27,Captain,2021-06-27,0.01,0.01
AO23445,Lieutenant,2024-11-16,,,1.62,1.62
AO25358,Lieutenant,2026-03-06,,,0.32,0.32
AO13818,Major,2025-10-03,Captain,2020-10-03,0.74,0.74
AO23508,Lieutenant,2024-08-27,,,1.84,1.84
AO23410,Lieutenant,2024-11-16,,,1.62,1.62
AO18024,Captain,2025-12-26,Senior Lieutenant,2022-12-26,0.51,0.51
AO16212,Captain,2023-10-07,Senior Lieutenant,2020-10-07,2.73,2.73
AO21707,Senior Lieutenant,2025-02-19,Lieutenant,2022-02-19,1.36,1.36
AO21034,Senior Lieutenant,2025-01-13,Lieutenant,2022-01-13,1.46,1.46
AO22645,Senior Lieutenant,2026-01-06,Lieutenant,2023-01-06,0.48,0.48
AO21263,Senior Lieutenant,2025-09-19,Lieutenant,2022-09-19,0.78,0.78
AO25112,Lieutenant,2026-03-24,,,0.27,0.27
AO21878,Senior Lieutenant,2025-05-03,Lieutenant,2022-05-03,1.16,1.16
AO20873,Senior Lieutenant,2024-09-18,Lieutenant,2021-09-19,1.78,1.78
AO24366,Lieutenant,2025-04-15,,,1.21,1.21
AO24140,Lieutenant,2025-04-26,,,1.18,1.18
AO17508,Captain,2024-03-09,Senior Lieutenant,2021-03-09,2.31,2.31
AO20321,Senior Lieutenant,2024-07-26,Lieutenant,2021-07-26,1.93,1.93
AO18793,Captain,2025-07-29,Senior Lieutenant,2022-07-30,0.92,0.92
AO25165,Lieutenant,2026-05-10,,,0.14,0.14
AO13943,Major,2025-08-31,Captain,2020-08-31,0.83,0.83
AO25541,Lieutenant,2026-01-28,,,0.42,0.42
AO17098,Captain,2024-11-05,Senior Lieutenant,2021-11-05,1.65,1.65
AO22788,Senior Lieutenant,2026-03-17,Lieutenant,2023-03-17,0.29,0.29
AO24582,Lieutenant,2025-10-03,,,0.74,0.74
AO21338,Senior Lieutenant,2025-06-16,Lieutenant,2022-06-16,1.04,1.04
G21228,Warrant Officer,2024-10-10,Junior Warrant Officer,2022-10-11,1.72,1.72
G23248,Warrant Officer,2026-02-12,Junior Warrant Officer,2024-02-12,0.38,0.38
G17472,Senior Warrant Officer,2022-11-09,Warrant Officer,2020-11-08,3.64,3.64
G25334,Junior Warrant Officer,2026-05-25,,,0.1,0.1
G23853,Warrant Officer,2026-05-18,Junior Warrant Officer,2024-05-17,0.12,0.12
G24918,Junior Warrant Officer,2025-07-29,,,0.92,0.92
G21956,Warrant Officer,2024-09-26,Junior Warrant Officer,2022-09-26,1.76,1.76
G24754,Junior Warrant Officer,2025-08-24,,,0.85,0.85
G13596,Senior Warrant Officer,2018-07-22,Warrant Officer,2016-07-22,7.94,7.94
G22667,Warrant Officer,2025-03-16,Junior Warrant Officer,2023-03-17,1.29,1.29
G22398,Warrant Officer,2025-12-12,Junior Warrant Officer,2023-12-12,0.55,0.55
G23722,Warrant Officer,2026-03-06,Junior Warrant Officer,2024-03-05,0.32,0.32
G21555,Senior Warrant Officer,2026-03-28,Warrant Officer,2024-03-27,0.26,0.26
G23967,Warrant Officer,2026-01-21,Junior Warrant Officer,2024-01-21,0.44,0.44
G21563,Warrant Officer,2024-08-16,Junior Warrant Officer,2022-08-17,1.87,1.87
G13345,Senior Warrant Officer,2018-09-01,Warrant Officer,2016-08-31,7.83,7.83
G24895,Junior Warrant Officer,2025-03-05,,,1.32,1.32
G21379,Senior Warrant Officer,2026-03-13,Warrant Officer,2024-03-12,0.3,0.3
G17341,Senior Warrant Officer,2022-11-16,Warrant Officer,2020-11-16,3.62,3.62
G10878,Senior Warrant Officer,2015-02-16,Warrant Officer,2013-02-15,11.37,11.37
G22691,Warrant Officer,2025-04-07,Junior Warrant Officer,2023-04-08,1.23,1.23
G23878,Warrant Officer,2026-02-15,Junior Warrant Officer,2024-02-16,0.37,0.37
G23264,Warrant Officer,2026-03-13,Junior Warrant Officer,2024-03-12,0.3,0.3
G09033,Senior Warrant Officer,2014-12-12,Warrant Officer,2012-12-11,11.55,11.55
G22782,Warrant Officer,2025-07-15,Junior Warrant Officer,2023-07-15,0.96,0.96
G10254,Senior Warrant Officer,2015-09-08,Warrant Officer,2013-09-08,10.81,10.81
G22028,Warrant Officer,2025-12-15,Junior Warrant Officer,2023-12-16,0.54,0.54
G21049,Warrant Officer,2024-10-25,Junior Warrant Officer,2022-10-25,1.68,1.68
G23282,Warrant Officer,2026-04-22,Junior Warrant Officer,2024-04-22,0.19,0.19
G25308,Junior Warrant Officer,2026-01-03,,,0.49,0.49
G22471,Warrant Officer,2025-07-22,Junior Warrant Officer,2023-07-23,0.94,0.94
G23592,Warrant Officer,2026-01-13,Junior Warrant Officer,2024-01-14,0.46,0.46
G25920,Junior Warrant Officer,2026-05-07,,,0.15,0.15
G24364,Junior Warrant Officer,2025-09-04,,,0.82,0.82
G22982,Warrant Officer,2025-06-05,Junior Warrant Officer,2023-06-05,1.07,1.07
G23461,Junior Warrant Officer,2024-07-07,,,1.98,1.98
G18512,Senior Warrant Officer,2023-03-10,Warrant Officer,2021-03-09,3.31,3.31
G23291,Warrant Officer,2026-06-05,Junior Warrant Officer,2024-06-04,0.07,0.07
G23231,Warrant Officer,2026-04-04,Junior Warrant Officer,2024-04-03,0.24,0.24
G22347,Warrant Officer,2025-08-06,Junior Warrant Officer,2023-08-06,0.9,0.9
G23588,Warrant Officer,2026-01-10,Junior Warrant Officer,2024-01-10,0.47,0.47
G09565,Senior Warrant Officer,2014-08-17,Warrant Officer,2012-08-16,11.87,11.87
G21906,Warrant Officer,2024-12-22,Junior Warrant Officer,2022-12-23,1.52,1.52
G22712,Warrant Officer,2025-06-01,Junior Warrant Officer,2023-06-02,1.08,1.08
G23902,Warrant Officer,2026-06-27,Junior Warrant Officer,2024-06-26,0.01,0.01
G18430,Senior Warrant Officer,2023-03-31,Warrant Officer,2021-03-31,3.25,3.25
G23276,Warrant Officer,2026-04-26,Junior Warrant Officer,2024-04-25,0.18,0.18
G17879,Senior Warrant Officer,2022-04-29,Warrant Officer,2020-04-29,4.17,4.17
G22590,Warrant Officer,2025-10-14,Junior Warrant Officer,2023-10-15,0.71,0.71
G23898,Warrant Officer,2026-06-12,Junior Warrant Officer,2024-06-12,0.05,0.05
G23419,Warrant Officer,2026-06-16,Junior Warrant Officer,2024-06-15,0.04,0.04
G25872,Junior Warrant Officer,2026-03-09,,,0.31,0.31
G18131,Senior Warrant Officer,2023-07-23,Warrant Officer,2021-07-22,2.94,2.94
G24109,Junior Warrant Officer,2025-07-29,,,0.92,0.92
G25531,Junior Warrant Officer,2026-03-24,,,0.27,0.27
G18619,Senior Warrant Officer,2023-06-09,Warrant Officer,2021-06-08,3.06,3.06
G17402,Senior Warrant Officer,2022-01-03,Warrant Officer,2020-01-03,4.49,4.49
G25356,Junior Warrant Officer,2026-05-14,,,0.13,0.13
G23270,Warrant Officer,2026-06-23,Junior Warrant Officer,2024-06-23,0.02,0.02
G22986,Warrant Officer,2025-02-15,Junior Warrant Officer,2023-02-16,1.37,1.37
