medal_id,person_id,department,medal_type,award_date,reason
M0324,G16019,Beta,International Cooperation Medal,2023-06-16,Contribution to joint/NATO training exercises
M0325,G21967,Beta,Meritorious Service Medal,2026-03-02,Sustained high standard of duty performance
M0326,G21967,Beta,Years of Service Medal,2025-03-20,Long and continuous military service
M0327,G21967,Beta,Distinguished Marksmanship Medal,2026-06-17,Recognized shooting proficiency
M0328,G17208,Beta,Unit Commendation,2022-11-28,Contribution to unit-level achievement
M0329,G17208,Beta,Meritorious Service Medal,2025-06-08,Sustained high standard of duty performance
M0330,G23922,Beta,International Cooperation Medal,2024-08-27,Contribution to joint/NATO training exercises
M0331,G23922,Beta,Years of Service Medal,2025-11-13,Long and continuous military service
M0332,G11685,Beta,Operational Excellence Medal,2023-04-16,Exceptional performance during operational missions
M0333,G11685,Beta,Presidential Commendation,2021-12-11,Distinguished service recognized at command level
M0334,G11685,Beta,Unit Commendation,2024-12-08,Contribution to unit-level achievement
M0335,G24038,Beta,Distinguished Marksmanship Medal,2025-03-06,Recognized shooting proficiency
M0336,G24038,Beta,International Cooperation Medal,2026-03-06,Contribution to joint/NATO training exercises
M0337,G10758,Beta,Years of Service Medal,2023-03-09,Long and continuous military service
M0338,G08002,Beta,International Cooperation Medal,2026-01-13,Contribution to joint/NATO training exercises
M0339,G08002,Beta,Distinguished Marksmanship Medal,2025-04-10,Recognized shooting proficiency
M0340,G08002,Beta,Years of Service Medal,2023-01-20,Long and continuous military service
M0341,G08002,Beta,International Cooperation Medal,2025-09-27,Contribution to joint/NATO training exercises
M0342,G08002,Beta,Meritorious Service Medal,2024-05-21,Sustained high standard of duty performance
M0343,G24010,Beta,Years of Service Medal,2026-06-20,Long and continuous military service
M0344,G24043,Beta,Meritorious Service Medal,2025-02-05,Sustained high standard of duty performance
M0345,G24043,Beta,Presidential Commendation,2025-10-24,Distinguished service recognized at command level
M0346,G24043,Beta,Distinguished Marksmanship Medal,2024-03-22,Recognized shooting proficiency
M0347,G24043,Beta,Unit Commendation,2025-11-08,Contribution to unit-level achievement
M0348,G22635,Beta,International Cooperation Medal,2025-02-15,Contribution to joint/NATO training exercises
M0349,G22413,Beta,Distinguished Marksmanship Medal,2023-04-12,Recognized shooting proficiency
M0350,G22413,Beta,Distinguished Marksmanship Medal,2024-09-13,Recognized shooting proficiency
M0351,G22413,Beta,Years of Service Medal,2023-06-20,Long and continuous military service
M0352,G23299,Beta,Unit Commendation,2023-05-31,Contribution to unit-level achievement
M0353,G23299,Beta,Operational Excellence Medal,2024-06-22,Exceptional performance during operational missions
M0354,G25915,Beta,Years of Service Medal,2025-02-26,Long and continuous military service
M0355,G25915,Beta,Meritorious Service Medal,2025-06-01,Sustained high standard of duty performance
M0356,G22473,Beta,Presidential Commendation,2023-03-10,Distinguished service recognized at command level
M0357,G22473,Beta,Meritorious Service Medal,2025-11-15,Sustained high standard of duty performance
M0358,G22473,Beta,Meritorious Service Medal,2022-11-01,Sustained high standard of duty performance
M0359,G24309,Beta,Meritorious Service Medal,2024-05-19,Sustained high standard of duty performance
M0360,G24309,Beta,Unit Commendation,2024-07-12,Contribution to unit-level achievement
M0361,G10138,Beta,International Cooperation Medal,2024-09-06,Contribution to joint/NATO training exercises
M0362,G10138,Beta,Years of Service Medal,2023-12-05,Long and continuous military service
M0363,G10138,Beta,International Cooperation Medal,2025-01-26,Contribution to joint/NATO training exercises
M0364,G24284,Beta,Operational Excellence Medal,2025-02-22,Exceptional performance during operational missions
M0365,G24284,Beta,Unit Commendation,2025-09-17,Contribution to unit-level achievement
M0366,G22544,Beta,Operational Excellence Medal,2023-09-24,Exceptional performance during operational missions
M0367,G22544,Beta,Unit Commendation,2025-12-06,Contribution to unit-level achievement
M0368,G22544,Beta,Presidential Commendation,2023-07-29,Distinguished service recognized at command level
M0369,G22544,Beta,Operational Excellence Medal,2026-03-05,Exceptional performance during operational missions
M0370,G22544,Beta,Years of Service Medal,2023-07-18,Long and continuous military service
M0371,G22544,Beta,Unit Commendation,2026-01-16,Contribution to unit-level achievement
M0372,G23763,Beta,International Cooperation Medal,2025-10-08,Contribution to joint/NATO training exercises
M0373,G12593,Beta,Distinguished Marksmanship Medal,2025-07-16,Recognized shooting proficiency
M0374,G12593,Beta,Years of Service Medal,2024-08-25,Long and continuous military service
M0375,G12425,Beta,Meritorious Service Medal,2024-08-17,Sustained high standard of duty performance
M0376,G12425,Beta,Distinguished Marksmanship Medal,2024-02-19,Recognized shooting proficiency
M0377,G12425,Beta,International Cooperation Medal,2024-10-16,Contribution to joint/NATO training exercises
M0378,G13609,Beta,Unit Commendation,2024-06-11,Contribution to unit-level achievement
M0379,G13609,Beta,Distinguished Marksmanship Medal,2023-02-13,Recognized shooting proficiency
M0380,G24580,Beta,Meritorious Service Medal,2025-05-02,Sustained high standard of duty performance
M0381,G24580,Beta,Presidential Commendation,2026-01-17,Distinguished service recognized at command level
M0382,G24580,Beta,Operational Excellence Medal,2026-05-14,Exceptional performance during operational missions
M0383,G21267,Beta,International Cooperation Medal,2026-05-17,Contribution to joint/NATO training exercises
M0384,G21267,Beta,Unit Commendation,2025-07-16,Contribution to unit-level achievement
M0385,G21267,Beta,Operational Excellence Medal,2023-10-15,Exceptional performance during operational missions
M0386,G21267,Beta,Operational Excellence Medal,2024-04-07,Exceptional performance during operational missions
M0387,G21267,Beta,Operational Excellence Medal,2025-04-15,Exceptional performance during operational missions
M0388,G23226,Beta,Meritorious Service Medal,2024-06-23,Sustained high standard of duty performance
M0389,G23226,Beta,Meritorious Service Medal,2025-06-09,Sustained high standard of duty performance
M0390,G23226,Beta,Presidential Commendation,2024-07-01,Distinguished service recognized at command level
M0391,AO12824,Delta,Distinguished Marksmanship Medal,2022-11-01,Recognized shooting proficiency
M0392,AO18342,Delta,Unit Commendation,2026-05-17,Contribution to unit-level achievement
M0393,AO23991,Delta,International Cooperation Medal,2025-10-12,Contribution to joint/NATO training exercises
M0394,AO24278,Delta,Unit Commendation,2025-08-11,Contribution to unit-level achievement
M0395,AO24278,Delta,Distinguished Marksmanship Medal,2026-05-09,Recognized shooting proficiency
M0396,AO24278,Delta,Meritorious Service Medal,2025-12-09,Sustained high standard of duty performance
M0397,AO24278,Delta,Years of Service Medal,2026-05-29,Long and continuous military service
M0398,AO21963,Delta,International Cooperation Medal,2026-02-04,Contribution to joint/NATO training exercises
M0399,AO21963,Delta,Years of Service Medal,2024-08-05,Long and continuous military service
M0400,AO24578,Delta,Presidential Commendation,2025-04-14,Distinguished service recognized at command level
M0401,AO24578,Delta,Operational Excellence Medal,2025-06-26,Exceptional performance during operational missions
M0402,AO24578,Delta,International Cooperation Medal,2025-12-04,Contribution to joint/NATO training exercises
M0403,AO25711,Delta,International Cooperation Medal,2026-06-03,Contribution to joint/NATO training exercises
M0404,AO25711,Delta,Operational Excellence Medal,2025-12-02,Exceptional performance during operational missions
M0405,AO22316,Delta,Years of Service Medal,2023-11-23,Long and continuous military service
M0406,AO18186,Delta,Meritorious Service Medal,2023-12-27,Sustained high standard of duty performance
M0407,AO18186,Delta,Presidential Commendation,2023-06-09,Distinguished service recognized at command level
M0408,AO18238,Delta,Presidential Commendation,2025-11-21,Distinguished service recognized at command level
M0409,AO18238,Delta,Distinguished Marksmanship Medal,2024-08-04,Recognized shooting proficiency
M0410,AO18238,Delta,Presidential Commendation,2025-06-22,Distinguished service recognized at command level
M0411,AO25379,Delta,Years of Service Medal,2025-04-20,Long and continuous military service
M0412,AO25379,Delta,Unit Commendation,2026-06-20,Contribution to unit-level achievement
M0413,AO25379,Delta,Years of Service Medal,2025-10-20,Long and continuous military service
M0414,AO25379,Delta,Unit Commendation,2025-01-18,Contribution to unit-level achievement
M0415,AO25379,Delta,Unit Commendation,2026-05-15,Contribution to unit-level achievement
M0416,AO12189,Delta,Operational Excellence Medal,2023-11-27,Exceptional performance during operational missions
M0417,AO12189,Delta,Years of Service Medal,2023-07-01,Long and continuous military service
M0418,AO15573,Delta,Presidential Commendation,2025-02-23,Distinguished service recognized at command level
M0419,AO13278,Delta,Meritorious Service Medal,2025-11-02,Sustained high standard of duty performance
M0420,AO13278,Delta,Operational Excellence Medal,2026-02-12,Exceptional performance during operational missions
M0421,AO15860,Delta,Meritorious Service Medal,2021-10-07,Sustained high standard of duty performance
M0422,AO24436,Delta,Meritorious Service Medal,2024-09-21,Sustained high standard of duty performance
M0423,AO15781,Delta,Unit Commendation,2022-11-20,Contribution to unit-level achievement
M0424,AO12061,Delta,Years of Service Medal,2026-06-12,Long and continuous military service
M0425,AO12061,Delta,Distinguished Marksmanship Medal,2026-06-28,Recognized shooting proficiency
M0426,AO18148,Delta,Operational Excellence Medal,2025-10-13,Exceptional performance during operational missions
M0427,AO23475,Delta,Unit Commendation,2024-10-12,Contribution to unit-level achievement
M0428,AO23475,Delta,International Cooperation Medal,2024-10-28,Contribution to joint/NATO training exercises
M0429,AO25607,Delta,Years of Service Medal,2026-06-26,Long and continuous military service
M0430,AO25607,Delta,International Cooperation Medal,2025-11-24,Contribution to joint/NATO training exercises
M0431,AO25607,Delta,Operational Excellence Medal,2025-07-09,Exceptional performance during operational missions
M0432,AO21091,Delta,Distinguished Marksmanship Medal,2025-07-01,Recognized shooting proficiency
M0433,AO21091,Delta,International Cooperation Medal,2025-09-02,Contribution to joint/NATO training exercises
M0434,AO21091,Delta,Meritorious Service Medal,2022-11-04,Sustained high standard of duty performance
M0435,AO22207,Delta,Presidential Commendation,2024-05-31,Distinguished service recognized at command level
M0436,AO22207,Delta,Operational Excellence Medal,2025-07-21,Exceptional performance during operational missions
M0437,AO22207,Delta,Presidential Commendation,2025-09-17,Distinguished service recognized at command level
M0438,AO17682,Delta,Unit Commendation,2022-07-23,Contribution to unit-level achievement
M0439,AO17015,Delta,Unit Commendation,2025-12-31,Contribution to unit-level achievement
M0440,AO17015,Delta,Distinguished Marksmanship Medal,2023-06-21,Recognized shooting proficiency
M0441,AO13576,Delta,Distinguished Marksmanship Medal,2025-08-29,Recognized shooting proficiency
M0442,AO13576,Delta,Presidential Commendation,2024-12-29,Distinguished service recognized at command level
M0443,AO20306,Delta,Unit Commendation,2025-03-17,Contribution to unit-level achievement
M0444,AO20306,Delta,Operational Excellence Medal,2024-11-16,Exceptional performance during operational missions
M0445,AO20306,Delta,Presidential Commendation,2026-02-28,Distinguished service recognized at command level
M0446,AO20306,Delta,Presidential Commendation,2025-04-20,Distinguished service recognized at command level
M0447,AO20306,Delta,Years of Service Medal,2025-02-22,Long and continuous military service
M0448,AO16242,Delta,Years of Service Medal,2021-07-17,Long and continuous military service
M0449,AO16242,Delta,Operational Excellence Medal,2024-07-30,Exceptional performance during operational missions
M0450,AO16242,Delta,Unit Commendation,2022-11-03,Contribution to unit-level achievement
M0451,AO16242,Delta,Distinguished Marksmanship Medal,2021-07-14,Recognized shooting proficiency
M0452,AO16242,Delta,International Cooperation Medal,2025-06-18,Contribution to joint/NATO training exercises
M0453,AO23405,Delta,Years of Service Medal,2026-02-26,Long and continuous military service
M0454,AO23405,Delta,Meritorious Service Medal,2025-10-28,Sustained high standard of duty performance
M0455,AO23405,Delta,Unit Commendation,2024-12-07,Contribution to unit-level achievement
M0456,AO23405,Delta,International Cooperation Medal,2025-05-20,Contribution to joint/NATO training exercises
M0457,G12516,Delta,Meritorious Service Medal,2023-12-07,Sustained high standard of duty performance
M0458,G12516,Delta,Meritorious Service Medal,2024-09-02,Sustained high standard of duty performance
M0459,G12516,Delta,Distinguished Marksmanship Medal,2025-10-14,Recognized shooting proficiency
M0460,G12516,Delta,Unit Commendation,2025-10-26,Contribution to unit-level achievement
M0461,G12516,Delta,Unit Commendation,2021-09-29,Contribution to unit-level achievement
M0462,G11545,Delta,Years of Service Medal,2026-04-25,Long and continuous military service
M0463,G23314,Delta,Years of Service Medal,2025-09-12,Long and continuous military service
M0464,G19777,Delta,Years of Service Medal,2023-12-16,Long and continuous military service
M0465,G19777,Delta,Operational Excellence Medal,2025-11-11,Exceptional performance during operational missions
M0466,G19777,Delta,Meritorious Service Medal,2026-03-10,Sustained high standard of duty performance
M0467,G08440,Delta,International Cooperation Medal,2026-01-28,Contribution to joint/NATO training exercises
M0468,G08440,Delta,International Cooperation Medal,2025-05-09,Contribution to joint/NATO training exercises
M0469,G08440,Delta,International Cooperation Medal,2022-05-31,Contribution to joint/NATO training exercises
M0470,G23726,Delta,Presidential Commendation,2024-04-19,Distinguished service recognized at command level
M0471,G23726,Delta,Years of Service Medal,2026-01-07,Long and continuous military service
M0472,G23726,Delta,Unit Commendation,2026-06-25,Contribution to unit-level achievement
M0473,G23726,Delta,International Cooperation Medal,2026-02-22,Contribution to joint/NATO training exercises
M0474,G21722,Delta,International Cooperation Medal,2025-09-19,Contribution to joint/NATO training exercises
M0475,G21722,Delta,Presidential Commendation,2025-05-05,Distinguished service recognized at command level
M0476,G23263,Delta,International Cooperation Medal,2026-04-22,Contribution to joint/NATO training exercises
M0477,G22662,Delta,Distinguished Marksmanship Medal,2024-10-27,Recognized shooting proficiency
M0478,G22662,Delta,Unit Commendation,2025-11-18,Contribution to unit-level achievement
M0479,G22464,Delta,Meritorious Service Medal,2025-11-09,Sustained high standard of duty performance
M0480,G22464,Delta,Presidential Commendation,2025-05-10,Distinguished service recognized at command level
M0481,G22464,Delta,Presidential Commendation,2024-12-02,Distinguished service recognized at command level
M0482,G23804,Delta,Distinguished Marksmanship Medal,2026-04-05,Recognized shooting proficiency
M0483,G23804,Delta,Operational Excellence Medal,2026-01-10,Exceptional performance during operational missions
M0484,G23804,Delta,Years of Service Medal,2025-06-27,Long and continuous military service
M0485,G23804,Delta,Unit Commendation,2025-05-23,Contribution to unit-level achievement
M0486,G23804,Delta,Unit Commendation,2026-01-13,Contribution to unit-level achievement
M0487,G23804,Delta,Years of Service Medal,2026-04-29,Long and continuous military service
M0488,G24311,Delta,Presidential Commendation,2025-07-11,Distinguished service recognized at command level
M0489,G24311,Delta,Meritorious Service Medal,2025-09-03,Sustained high standard of duty performance
M0490,G07820,Delta,Years of Service Medal,2023-07-11,Long and continuous military service
M0491,G07820,Delta,Distinguished Marksmanship Medal,2023-03-29,Recognized shooting proficiency
M0492,G07820,Delta,International Cooperation Medal,2024-11-13,Contribution to joint/NATO training exercises
M0493,G07820,Delta,International Cooperation Medal,2026-05-03,Contribution to joint/NATO training exercises
M0494,G24390,Delta,International Cooperation Medal,2025-12-26,Contribution to joint/NATO training exercises
M0495,G24390,Delta,International Cooperation Medal,2024-12-23,Contribution to joint/NATO training exercises
M0496,G24390,Delta,Operational Excellence Medal,2026-06-15,Exceptional performance during operational missions
M0497,G24390,Delta,Presidential Commendation,2026-05-09,Distinguished service recognized at command level
M0498,G09841,Delta,Distinguished Marksmanship Medal,2026-02-17,Recognized shooting proficiency
M0499,G21565,Delta,Unit Commendation,2026-03-08,Contribution to unit-level achievement
M0500,G21565,Delta,Meritorious Service Medal,2025-07-22,Sustained high standard of duty performance
M0501,G21565,Delta,International Cooperation Medal,2025-11-12,Contribution to joint/NATO training exercises
M0502,G20187,Delta,Years of Service Medal,2026-06-19,Long and continuous military service
M0503,G20187,Delta,Years of Service Medal,2025-07-05,Long and continuous military service
M0504,G24951,Delta,Distinguished Marksmanship Medal,2025-09-14,Recognized shooting proficiency
M0505,G21305,Delta,Meritorious Service Medal,2024-04-03,Sustained high standard of duty performance
M0506,G22415,Delta,Operational Excellence Medal,2023-08-10,Exceptional performance during operational missions
M0507,G22415,Delta,Distinguished Marksmanship Medal,2024-08-13,Recognized shooting proficiency
M0508,G22415,Delta,Years of Service Medal,2022-10-02,Long and continuous military service
M0509,G22415,Delta,International Cooperation Medal,2026-03-02,Contribution to joint/NATO training exercises
M0510,G22579,Delta,Meritorious Service Medal,2023-01-19,Sustained high standard of duty performance
M0511,G22579,Delta,Presidential Commendation,2025-01-16,Distinguished service recognized at command level
M0512,G22579,Delta,Distinguished Marksmanship Medal,2026-06-25,Recognized shooting proficiency
M0513,G22579,Delta,Meritorious Service Medal,2023-05-22,Sustained high standard of duty performance
M0514,G22977,Delta,Distinguished Marksmanship Medal,2025-04-16,Recognized shooting proficiency
M0515,G24065,Delta,International Cooperation Medal,2025-09-28,Contribution to joint/NATO training exercises
M0516,G24065,Delta,International Cooperation Medal,2025-01-06,Contribution to joint/NATO training exercises
M0517,G24065,Delta,Distinguished Marksmanship Medal,2024-05-06,Recognized shooting proficiency
M0518,G24065,Delta,Meritorious Service Medal,2024-04-08,Sustained high standard of duty performance
M0519,G24065,Delta,Presidential Commendation,2025-12-18,Distinguished service recognized at command level
M0520,G24065,Delta,Years of Service Medal,2025-10-27,Long and continuous military service
M0521,G07673,Delta,Distinguished Marksmanship Medal,2025-10-09,Recognized shooting proficiency
M0522,G07673,Delta,Operational Excellence Medal,2024-07-25,Exceptional performance during operational missions
M0523,G07673,Delta,Distinguished Marksmanship Medal,2025-05-29,Recognized shooting proficiency
M0524,G07673,Delta,Distinguished Marksmanship Medal,2024-01-18,Recognized shooting proficiency
M0525,G23918,Delta,Distinguished Marksmanship Medal,2025-08-24,Recognized shooting proficiency
M0526,G22485,Delta,Meritorious Service Medal,2026-02-19,Sustained high standard of duty performance
M0527,G22220,Delta,Years of Service Medal,2024-12-30,Long and continuous military service
M0528,G22168,Delta,Distinguished Marksmanship Medal,2024-07-07,Recognized shooting proficiency
M0529,G13401,Delta,International Cooperation Medal,2025-05-25,Contribution to joint/NATO training exercises
M0530,G13401,Delta,International Cooperation Medal,2024-07-15,Contribution to joint/NATO training exercises
M0531,G13401,Delta,Years of Service Medal,2023-12-22,Long and continuous military service
M0532,G13401,Delta,International Cooperation Medal,2025-01-05,Contribution to joint/NATO training exercises
M0533,G13401,Delta,Operational Excellence Medal,2025-02-12,Exceptional performance during operational missions
M0534,G13401,Delta,Presidential Commendation,2024-06-03,Distinguished service recognized at command level
M0535,G25062,Delta,Meritorious Service Medal,2026-06-22,Sustained high standard of duty performance
M0536,G13194,Delta,Unit Commendation,2023-06-01,Contribution to unit-level achievement
M0537,G13194,Delta,Presidential Commendation,2021-07-01,Distinguished service recognized at command level
M0538,G24151,Delta,International Cooperation Medal,2026-04-15,Contribution to joint/NATO training exercises
M0539,G24151,Delta,Unit Commendation,2025-04-27,Contribution to unit-level achievement
M0540,G07405,Delta,Distinguished Marksmanship Medal,2024-09-20,Recognized shooting proficiency
M0541,G23626,Delta,Distinguished Marksmanship Medal,2024-05-12,Recognized shooting proficiency
M0542,G23626,Delta,Meritorious Service Medal,2025-03-11,Sustained high standard of duty performance
M0543,G09553,Delta,Operational Excellence Medal,2021-10-12,Exceptional performance during operational missions
M0544,G09553,Delta,International Cooperation Medal,2022-10-15,Contribution to joint/NATO training exercises
M0545,G09553,Delta,Distinguished Marksmanship Medal,2023-05-14,Recognized shooting proficiency
M0546,G25177,Delta,Meritorious Service Medal,2025-10-02,Sustained high standard of duty performance
M0547,G25177,Delta,Operational Excellence Medal,2025-07-03,Exceptional performance during operational missions
M0548,G25177,Delta,Operational Excellence Medal,2026-05-22,Exceptional performance during operational missions
M0549,AO97317,Gamma,Distinguished Marksmanship Medal,2026-05-03,Recognized shooting proficiency
M0550,AO97317,Gamma,Presidential Commendation,2025-12-23,Distinguished service recognized at command level
M0551,AO97317,Gamma,International Cooperation Medal,2025-11-16,Contribution to joint/NATO training exercises
M0552,AO97317,Gamma,Years of Service Medal,2024-06-17,Long and continuous military service
M0553,AO97317,Gamma,Unit Commendation,2024-03-17,Contribution to unit-level achievement
M0554,AO97317,Gamma,Presidential Commendation,2022-09-15,Distinguished service recognized at command level
M0555,AO14416,Gamma,Years of Service Medal,2024-06-22,Long and continuous military service
M0556,AO14416,Gamma,Unit Commendation,2025-01-19,Contribution to unit-level achievement
M0557,AO14416,Gamma,Years of Service Medal,2024-06-13,Long and continuous military service
M0558,AO14416,Gamma,Meritorious Service Medal,2026-01-07,Sustained high standard of duty performance
M0559,AO14212,Gamma,Operational Excellence Medal,2025-03-16,Exceptional performance during operational missions
M0560,AO14212,Gamma,Distinguished Marksmanship Medal,2025-05-31,Recognized shooting proficiency
M0561,AO14212,Gamma,Distinguished Marksmanship Medal,2026-05-05,Recognized shooting proficiency
M0562,G23124,Gamma,Years of Service Medal,2025-09-26,Long and continuous military service
M0563,G23124,Gamma,Years of Service Medal,2026-01-12,Long and continuous military service
M0564,G23124,Gamma,Unit Commendation,2024-02-08,Contribution to unit-level achievement
M0565,G23124,Gamma,Meritorious Service Medal,2024-05-28,Sustained high standard of duty performance
M0566,AO18162,Gamma,Unit Commendation,2025-11-04,Contribution to unit-level achievement
M0567,AO18162,Gamma,Distinguished Marksmanship Medal,2024-03-30,Recognized shooting proficiency
M0568,AO18162,Gamma,International Cooperation Medal,2025-09-17,Contribution to joint/NATO training exercises
M0569,AO18162,Gamma,Unit Commendation,2022-11-08,Contribution to unit-level achievement
M0570,AO18162,Gamma,Presidential Commendation,2024-07-03,Distinguished service recognized at command level
M0571,AO18162,Gamma,Operational Excellence Medal,2026-03-16,Exceptional performance during operational missions
M0572,AO17072,Gamma,Distinguished Marksmanship Medal,2025-08-16,Recognized shooting proficiency
M0573,AO17072,Gamma,Meritorious Service Medal,2026-02-12,Sustained high standard of duty performance
M0574,AO17072,Gamma,Unit Commendation,2022-12-17,Contribution to unit-level achievement
M0575,AO24985,Gamma,Years of Service Medal,2025-01-26,Long and continuous military service
M0576,AO24985,Gamma,International Cooperation Medal,2025-12-01,Contribution to joint/NATO training exercises
M0577,AO24985,Gamma,International Cooperation Medal,2024-10-03,Contribution to joint/NATO training exercises
M0578,AO21429,Gamma,Distinguished Marksmanship Medal,2022-02-27,Recognized shooting proficiency
M0579,AO21429,Gamma,International Cooperation Medal,2025-10-17,Contribution to joint/NATO training exercises
M0580,AO21429,Gamma,Unit Commendation,2026-04-22,Contribution to unit-level achievement
M0581,AO20240,Gamma,Operational Excellence Medal,2023-11-10,Exceptional performance during operational missions
M0582,AO20240,Gamma,Presidential Commendation,2022-11-13,Distinguished service recognized at command level
M0583,AO16860,Gamma,International Cooperation Medal,2024-08-24,Contribution to joint/NATO training exercises
M0584,AO16860,Gamma,Presidential Commendation,2024-08-01,Distinguished service recognized at command level
M0585,AO16860,Gamma,Presidential Commendation,2025-03-09,Distinguished service recognized at command level
M0586,AO16860,Gamma,Unit Commendation,2024-12-17,Contribution to unit-level achievement
M0587,AO16860,Gamma,Unit Commendation,2023-11-18,Contribution to unit-level achievement
M0588,AO16860,Gamma,Operational Excellence Medal,2025-12-08,Exceptional performance during operational missions
M0589,AO24475,Gamma,International Cooperation Medal,2024-12-26,Contribution to joint/NATO training exercises
M0590,AO24475,Gamma,International Cooperation Medal,2025-10-06,Contribution to joint/NATO training exercises
M0591,AO24451,Gamma,Years of Service Medal,2025-05-12,Long and continuous military service
M0592,AO24451,Gamma,Presidential Commendation,2026-02-02,Distinguished service recognized at command level
M0593,AO24451,Gamma,Presidential Commendation,2025-03-17,Distinguished service recognized at command level
M0594,AO25736,Gamma,Unit Commendation,2025-09-26,Contribution to unit-level achievement
M0595,AO24080,Gamma,Presidential Commendation,2025-07-20,Distinguished service recognized at command level
M0596,AO17637,Gamma,Distinguished Marksmanship Medal,2025-03-17,Recognized shooting proficiency
M0597,AO23313,Gamma,Presidential Commendation,2025-07-17,Distinguished service recognized at command level
M0598,AO23313,Gamma,Unit Commendation,2026-01-21,Contribution to unit-level achievement
M0599,AO23313,Gamma,Unit Commendation,2023-12-25,Contribution to unit-level achievement
M0600,AO23313,Gamma,Presidential Commendation,2024-03-04,Distinguished service recognized at command level
M0601,AO23316,Gamma,Years of Service Medal,2024-03-12,Long and continuous military service
M0602,AO17887,Gamma,International Cooperation Medal,2026-04-08,Contribution to joint/NATO training exercises
M0603,AO15343,Gamma,Presidential Commendation,2021-07-23,Distinguished service recognized at command level
M0604,AO15343,Gamma,Distinguished Marksmanship Medal,2025-05-19,Recognized shooting proficiency
M0605,AO18600,Gamma,Unit Commendation,2023-06-21,Contribution to unit-level achievement
M0606,AO18600,Gamma,Presidential Commendation,2025-05-04,Distinguished service recognized at command level
M0607,AO18600,Gamma,Unit Commendation,2022-08-24,Contribution to unit-level achievement
M0608,AO24112,Gamma,Meritorious Service Medal,2025-03-02,Sustained high standard of duty performance
M0609,AO24112,Gamma,Unit Commendation,2024-11-23,Contribution to unit-level achievement
M0610,AO18070,Gamma,Operational Excellence Medal,2023-11-27,Exceptional performance during operational missions
M0611,AO18070,Gamma,Meritorious Service Medal,2026-05-15,Sustained high standard of duty performance
M0612,AO21835,Gamma,Operational Excellence Medal,2024-05-23,Exceptional performance during operational missions
M0613,AO21835,Gamma,Operational Excellence Medal,2025-12-27,Exceptional performance during operational missions
M0614,AO21835,Gamma,Unit Commendation,2025-08-02,Contribution to unit-level achievement
M0615,AO21206,Gamma,International Cooperation Medal,2025-01-27,Contribution to joint/NATO training exercises
M0616,AO21206,Gamma,Years of Service Medal,2025-01-08,Long and continuous military service
M0617,AO15626,Gamma,Unit Commendation,2025-04-29,Contribution to unit-level achievement
M0618,AO15626,Gamma,Years of Service Medal,2026-02-20,Long and continuous military service
M0619,AO16652,Gamma,Years of Service Medal,2023-10-12,Long and continuous military service
M0620,AO21394,Gamma,Operational Excellence Medal,2026-01-28,Exceptional performance during operational missions
M0621,AO21394,Gamma,Presidential Commendation,2022-05-20,Distinguished service recognized at command level
M0622,AO17667,Gamma,Years of Service Medal,2021-12-26,Long and continuous military service
M0623,AO17667,Gamma,Unit Commendation,2023-12-15,Contribution to unit-level achievement
M0624,AO17667,Gamma,Meritorious Service Medal,2026-02-21,Sustained high standard of duty performance
M0625,AO21911,Gamma,International Cooperation Medal,2023-02-22,Contribution to joint/NATO training exercises
M0626,AO21911,Gamma,Operational Excellence Medal,2024-08-04,Exceptional performance during operational missions
M0627,AO21911,Gamma,Unit Commendation,2024-08-23,Contribution to unit-level achievement
M0628,AO24650,Gamma,Distinguished Marksmanship Medal,2025-01-01,Recognized shooting proficiency
M0629,AO24650,Gamma,International Cooperation Medal,2024-09-25,Contribution to joint/NATO training exercises
M0630,AO22118,Gamma,Presidential Commendation,2026-02-23,Distinguished service recognized at command level
M0631,AO22118,Gamma,Meritorious Service Medal,2025-12-25,Sustained high standard of duty performance
M0632,AO12488,Gamma,Meritorious Service Medal,2026-02-11,Sustained high standard of duty performance
M0633,AO12488,Gamma,Unit Commendation,2026-06-05,Contribution to unit-level achievement
M0634,AO12488,Gamma,Meritorious Service Medal,2025-02-04,Sustained high standard of duty performance
M0635,AO12488,Gamma,Meritorious Service Medal,2024-01-29,Sustained high standard of duty performance
M0636,AO12488,Gamma,Presidential Commendation,2026-06-24,Distinguished service recognized at command level
M0637,AO12488,Gamma,Operational Excellence Medal,2024-11-01,Exceptional performance during operational missions
M0638,AO24665,Gamma,Presidential Commendation,2025-09-22,Distinguished service recognized at command level
M0639,AO24665,Gamma,Operational Excellence Medal,2026-06-07,Exceptional performance during operational missions
M0640,AO24665,Gamma,Years of Service Medal,2026-03-27,Long and continuous military service
M0641,AO24665,Gamma,Operational Excellence Medal,2025-07-28,Exceptional performance during operational missions
M0642,AO24665,Gamma,Unit Commendation,2024-08-14,Contribution to unit-level achievement
M0643,AO24665,Gamma,Operational Excellence Medal,2025-04-26,Exceptional performance during operational missions
M0644,AO18360,Gamma,Unit Commendation,2025-09-01,Contribution to unit-level achievement
M0645,AO18360,Gamma,Distinguished Marksmanship Medal,2024-04-30,Recognized shooting proficiency
M0646,AO11938,Gamma,Meritorious Service Medal,2022-09-23,Sustained high standard of duty performance
M0647,AO11938,Gamma,Presidential Commendation,2024-08-20,Distinguished service recognized at command level
M0648,AO11938,Gamma,Meritorious Service Medal,2023-08-31,Sustained high standard of duty performance
